#{"t_start": 1772767812.3438518, "env_id": "marinenav_env-v0"}
r,l,t,is_success
87.711239,44,57.848604,True
112.32848,43,57.955118,True
24.631791,108,58.199277,True
-42.47086,10,58.228627,False
-70.310914,26,58.295034,False
100.086449,33,58.377558,True
51.330146,93,58.596592,True
-62.063543,14,58.636618,False
107.287239,32,58.731019,True
78.287088,58,58.86955,True
101.156643,34,58.954785,True
-54.971968,18,59.000782,False
107.893085,31,59.084298,True
55.47454,76,59.268848,True
97.095047,38,59.365361,True
86.794007,46,59.477879,True
-80.446068,50,59.612321,False
95.765802,38,59.706426,True
104.108964,34,59.793067,True
103.095566,30,59.87058,True
105.422774,31,59.948095,True
-56.921854,24,60.011093,False
91.567704,45,60.127133,True
-71.48746,32,60.207645,False
-70.620187,47,60.332458,False
82.177294,56,60.471991,True
-58.468633,35,60.561504,False
88.316789,42,60.665529,True
92.289289,39,61.882904,True
81.151291,51,61.994416,True
109.230626,35,62.07652,True
-58.863611,23,62.135561,False
-51.289322,12,62.177565,False
90.073107,41,62.275082,True
86.120246,45,62.383609,True
101.641611,45,62.486134,True
113.113742,21,62.535664,True
104.536204,30,62.603658,True
-55.936404,22,62.656704,False
113.707424,22,62.706703,True
72.942372,66,62.870423,True
-66.122726,33,62.951393,False
102.308507,29,63.017391,True
94.964952,43,63.114906,True
90.958265,44,63.213929,True
93.735494,43,63.311439,True
-51.448029,17,63.350952,False
2.219355,137,63.660252,True
-58.477492,22,63.725261,False
-49.690404,10,63.763775,False
-83.064534,54,63.901311,False
100.078795,31,63.976472,True
-48.467433,10,64.00247,False
-42.878209,9,64.026477,False
-47.501286,12,64.055987,False
-47.040134,9,64.079987,False
-48.512183,10,64.104992,False
-41.544342,11,64.134031,False
102.358239,27,64.200033,True
74.370083,65,64.349087,True
56.801047,74,64.53322,True
96.848318,35,64.63394,True
-56.389368,23,64.693946,False
-44.727282,13,64.726945,False
88.920777,41,64.828461,True
-45.995076,13,64.86254,False
-81.140304,41,64.960708,False
99.42656,38,65.054226,True
107.959503,43,65.157309,True
-57.992351,17,65.202331,False
79.571354,55,65.355455,True
86.010528,54,65.4869,True
100.128615,29,65.559436,True
92.112578,37,65.654464,True
105.01429,35,65.740984,True
98.51248,33,65.823997,True
114.196951,28,65.894516,True
-55.26756,21,65.948035,False
104.438649,34,66.052794,True
-53.816337,25,66.117523,False
93.290805,45,66.23027,True
40.31411,101,66.476322,True
110.062916,32,66.560843,True
106.642204,23,66.622902,True
-60.176928,17,66.667923,False
115.070044,23,66.732453,True
-49.798746,8,66.754412,False
112.516312,24,66.827432,True
-49.600799,12,66.868956,False
-53.366215,15,66.909954,False
100.689053,29,68.101034,True
93.580039,40,68.19073,True
99.297903,45,68.29346,True
95.69422,33,68.3678,True
93.618288,45,68.470342,True
-48.961707,11,68.49935,False
-47.764604,11,68.527359,False
97.046989,36,68.612876,True
-57.631274,28,68.676913,False
87.075442,50,68.785439,True
-48.276899,7,68.804439,False
103.366829,29,68.886955,True
112.303265,29,68.953481,True
-47.668165,12,68.982527,False
108.764166,37,69.066043,True
76.423682,55,69.187067,True
110.289179,19,69.231071,True
94.545974,40,69.318593,True
-47.59372,8,69.339105,False
92.388907,40,69.431111,True
108.949035,27,69.500608,True
-69.870071,34,69.581129,False
-48.107682,16,69.620186,False
-49.951575,22,69.672213,False
102.358381,35,69.751649,True
85.59758,44,69.850005,True
-52.318715,14,69.886003,False
-55.777756,14,69.924013,False
96.986266,32,70.007525,True
-46.112767,17,70.054051,False
109.542178,28,70.121056,True
89.320772,42,70.220979,True
98.48616,35,70.3065,True
-45.652265,8,70.32751,False
-48.003502,8,70.351026,False
109.227355,20,70.403296,True
89.600402,40,70.516771,True
-53.935197,15,70.555288,False
112.147597,19,70.60332,True
13.914194,115,70.869022,True
-60.278954,31,70.949539,False
115.745269,19,70.998544,True
99.323767,32,71.076754,True
102.413436,29,71.147258,True
100.4476,30,71.219269,True
110.065239,23,71.281797,True
-50.813608,17,71.336315,False
115.855186,29,71.408318,True
-50.631701,21,71.462836,False
107.830277,35,71.549023,True
-54.188164,26,71.616026,False
84.783352,45,71.726568,True
105.882081,30,71.804102,True
110.649908,22,71.860635,True
101.384421,29,71.943155,True
101.838108,35,72.03016,True
-55.2405,17,72.073685,False
-42.887416,7,72.092685,False
100.518291,29,72.163729,True
-53.015298,16,72.205735,False
108.309492,35,72.29325,True
-52.506758,16,72.33508,False
89.592862,42,72.441128,True
110.051572,19,72.491128,True
115.559332,25,72.57282,True
-45.855885,10,72.603423,False
102.133053,35,72.691248,True
-60.276476,20,72.743286,False
105.69976,27,72.813289,True
-55.525448,24,72.877806,False
-43.515822,18,72.924822,False
-50.832434,26,72.992333,False
96.594849,33,73.089861,True
94.655402,40,74.342944,True
103.711677,31,74.414946,True
89.222713,45,74.514548,True
111.072067,35,74.612066,True
-52.408607,22,74.665736,False
91.565753,46,74.774178,True
105.043426,25,74.835798,True
-48.77621,14,74.871367,False
-46.231418,12,74.902364,False
104.506333,28,74.965536,True
104.382651,32,75.03766,True
102.734287,31,75.112659,True
106.816738,25,75.172185,True
111.541375,19,75.216184,True
89.786074,49,75.325352,True
84.382889,46,75.427873,True
109.39622,27,75.491385,True
110.671906,20,75.537916,True
-42.780916,14,75.571918,False
114.91945,17,75.615917,True
-48.755163,18,75.670701,False
96.692853,33,75.748215,True
120.823514,26,75.807214,True
-52.736988,12,75.835219,False
113.573308,20,75.883312,True
107.348047,25,75.940419,True
114.063787,27,76.00242,True
113.220721,29,76.069946,True
101.35923,44,76.172988,True
107.840384,26,76.242512,True
98.409332,32,76.325516,True
107.180519,25,76.387223,True
103.654184,30,76.460752,True
-45.769382,16,76.501751,False
103.010106,34,76.584117,True
102.573348,43,76.687207,True
59.007329,71,76.853273,True
90.658191,49,76.973417,True
-42.677786,12,77.009181,False
115.342051,25,77.080918,True
-42.333304,19,77.130928,False
110.293153,19,77.179659,True
101.316844,34,77.265147,True
-59.617416,21,77.320148,False
113.565569,20,77.371666,True
85.113694,59,77.515204,True
112.718385,17,77.560729,True
97.49351,47,77.680816,True
-44.344089,22,77.740308,False
-59.042992,21,77.795305,False
100.39657,29,77.868828,True
95.171253,44,77.976915,True
-52.509112,15,78.018096,False
106.879247,38,78.112614,True
-47.576561,18,78.160137,False
-44.632839,8,78.183137,False
106.04817,28,78.257664,True
107.55995,26,78.323676,True
106.446961,25,78.387171,True
108.855965,34,78.471757,True
69.429889,65,78.627146,True
-46.979389,15,78.66759,False
115.842947,20,78.719667,True
-54.919557,17,78.764188,False
-58.076689,26,78.829192,False
-45.725897,19,78.879723,False
107.732399,23,78.936742,True
106.831601,24,79.000259,True
110.119965,26,79.078184,True
103.035218,29,79.154306,True
93.504732,46,79.269571,True
108.65652,29,79.345157,True
87.052197,42,80.547597,True
93.157897,41,80.637578,True
-73.691568,29,80.705612,False
-43.088079,6,80.721658,False
107.737939,21,80.769137,True
90.597786,47,80.872669,True
-53.152774,19,80.919669,False
-48.167106,15,80.956244,False
